EB_T (K),EB_((m0-m)/(m0-mf))
440.7346667,0.092961466
440.9023333,0.092978775
441.0696667,0.092997707
441.243,0.093018262
441.4163333,0.093042062
441.5816667,0.093066944
441.7513333,0.093092908
441.9226667,0.093117249
442.09,0.093142131
442.2576667,0.093166472
442.4226667,0.093191895
442.5923333,0.093217859
442.764,0.093242741
442.9346667,0.093264378
443.1003333,0.093287637
443.2713333,0.093311437
443.44,0.093335237
443.6103333,0.093356874
443.7793333,0.09337797
443.9433333,0.093398524
444.115,0.093421243
444.2836667,0.093447207
444.4503333,0.093473711
444.6183333,0.093498593
444.7923333,0.093522394
444.959,0.093548898
445.1276667,0.093571617
445.2956667,0.093596499
445.473,0.093622463
445.6363333,0.093643558
445.8003333,0.093666818
445.9736667,0.093690077
446.1426667,0.093716582
446.3036667,0.093746332
446.4726667,0.093771755
446.648,0.093796637
446.816,0.093822601
446.9833333,0.093849106
447.1623333,0.09387561
447.3236667,0.093902115
447.4953333,0.093930784
447.6656667,0.093965943
447.833,0.09399948
448.004,0.094029771
448.172,0.094057898
448.3423333,0.094087108
448.5116667,0.094113612
448.6826667,0.094140117
448.8526667,0.094166081
449.018,0.094188259
449.183,0.094215304
449.3563333,0.094243432
449.5253333,0.094271559
449.7006667,0.094304014
449.8666667,0.094330519
450.0403333,0.094357565
450.205,0.094385151
450.3726667,0.094410033
450.545,0.094438161
450.7123333,0.094466829
450.882,0.094495498
451.0456667,0.094527412
451.213,0.094560407
451.3826667,0.094595026
451.5533333,0.094629644
451.7213333,0.094663181
451.8926667,0.094692931
452.0676667,0.094723763
452.2343333,0.094756218
452.4026667,0.094789214
452.5736667,0.094820587
452.746,0.094850878
452.9136667,0.094882251
453.0806667,0.094920656
453.2503333,0.094956356
453.414,0.094989352
453.588,0.095020725
453.7573333,0.095050475
453.927,0.095081307
454.0926667,0.095113762
454.2616667,0.09514784
454.4336667,0.095182999
454.601,0.095216536
454.7693333,0.095248991
454.9363333,0.095279823
455.109,0.095311737
455.2766667,0.095342028
455.447,0.095375024
455.6173333,0.095410183
455.792,0.095445343
455.964,0.095481584
456.1286667,0.095514039
456.2943333,0.095547575
456.463,0.095583817
456.6316667,0.095616271
456.8003333,0.095649808
456.9726667,0.095683886
457.1386667,0.095719586
457.3086667,0.095755827
457.4763333,0.095790987
457.6456667,0.095827228
457.814,0.095865092
457.984,0.095902956
458.153,0.095942442
458.3186667,0.095980306
458.4903333,0.096016548
458.663,0.096055493
458.8273333,0.096094439
458.996,0.096133926
459.1673333,0.096170708
459.3413333,0.096203704
459.5073333,0.096239404
459.6673333,0.096276727
459.8426667,0.096314591
460.0166667,0.09634921
460.181,0.096388696
460.351,0.096429265
460.5193333,0.096470374
460.688,0.096513648
460.8606667,0.096554757
461.028,0.096595866
461.1933333,0.096636976
461.3673333,0.096677544
461.537,0.09671649
461.7043333,0.096755436
461.8723333,0.096793841
462.046,0.096832246
462.2143333,0.096869569
462.3766667,0.096907974
462.5466667,0.096946379
462.7243333,0.096985865
462.8913333,0.09702427
463.0626667,0.097064839
463.2326667,0.097105948
463.4006667,0.097146517
463.571,0.097188708
463.7376667,0.09723144
463.9063333,0.097274172
464.074,0.097312577
464.2403333,0.097356932
464.4113333,0.097401287
464.5826667,0.097445642
464.7546667,0.097487833
464.9236667,0.097528943
465.0843333,0.097572216
465.2556667,0.097616571
465.4246667,0.097656058
465.5936667,0.097696626
465.759,0.097737736
465.931,0.097781009
466.103,0.097823741
466.2736667,0.097865391
466.4416667,0.097909746
466.613,0.097954101
466.779,0.097997915
466.9516667,0.098046598
467.118,0.098094739
