EM_T (K),EM_((m0-m)/(m0-mf))
499.9736667,0.078023406
500.1446667,0.078111698
500.3183333,0.078200524
500.484,0.078290956
500.651,0.078380853
500.823,0.078471285
500.9956667,0.078564927
501.1626667,0.078656429
501.331,0.078747931
501.4943333,0.078841038
501.6626667,0.078934146
501.8346667,0.079030464
502.0033333,0.079127852
502.1713333,0.079225775
502.338,0.079326374
502.5096667,0.079429648
502.6813333,0.079531852
502.847,0.079634591
503.0183333,0.079738936
503.1863333,0.079842745
503.358,0.079945484
503.526,0.080048223
503.694,0.080151497
503.862,0.080254237
504.0286667,0.080358581
504.1983333,0.080464531
504.365,0.080572086
504.538,0.080683921
504.704,0.080795222
504.8743333,0.080908128
